date,edge_id,district,rainfall_24h_mm,slope_deg,soil_saturation,base_vulnerability,active_reports_count,disruption_level,blocked_flag
2025-08-19,osm_edge_01883,Kamrup Metropolitan,31.9,4.3,0.37,0.19,0,22.2,0
2025-08-24,osm_edge_04578,Ri-Bhoi,20.5,3.2,0.44,0.16,0,13.7,0
2025-08-27,osm_edge_04293,Ri-Bhoi,86.0,10.4,0.62,0.31,0,39.4,0
2025-09-02,osm_edge_00643,Cachar,32.2,1.5,0.43,0.13,0,17.4,0
2025-09-07,osm_edge_02462,Karimganj,83.7,3.4,0.41,0.17,0,22.9,0
2025-09-08,osm_edge_03761,Karimganj,32.9,2.5,0.64,0.15,0,26.5,0
2025-09-12,osm_edge_00962,East Khasi Hills,41.4,21.5,0.58,0.68,0,39.5,0
2025-09-13,osm_edge_02849,Ri-Bhoi,55.6,8.8,0.6,0.28,0,25.1,0
2025-09-14,osm_edge_01869,Ri-Bhoi,80.8,5.0,0.56,0.2,0,31.6,0
2025-09-18,osm_edge_00473,East Khasi Hills,60.8,19.7,0.64,0.64,1,43.3,0
2025-09-24,osm_edge_00631,Cachar,51.3,4.1,0.56,0.18,0,20.1,0
2025-11-03,osm_edge_02420,Karimganj,28.5,1.4,0.4,0.13,0,16.5,0
